57,'Intel Core i5-10600KF [BX8070110600KF]','Intel','https://media.solotodo.com/media/products/1200190_picture_1595049054.jpg',171.62,163990,'https://solotodo.com/products/84333',6,12,4100,4800,125,'LGA 1200','Intel Comet Lake','No posee','No posee',501,3629
58,'Intel Core i5-13400F [BX8071513400F]','Intel','https://media.solotodo.com/media/products/1720016_picture_1675936310.jpg',173.43,165724,'https://solotodo.com/products/179023',6,16,2500,4600,65,'LGA 1700','Intel Raptor Lake','No posee','Cooler stock Intel',687,6055
59,'Intel Core i5-12400 [BX8071512400]','Intel','https://media.solotodo.com/media/products/1514024_picture_1640156807.jpg',175.6,167790,'https://solotodo.com/products/127943',6,12,2500,4400,65,'LGA 1700','Intel Alder Lake','UHD 730','Cooler stock Intel',664,4784
60,'AMD Ryzen 7 5700G [100-100000263MPK]','AMD','https://media.solotodo.com/media/products/1761272_picture_1684164168.webp',180.4,172380,'https://solotodo.com/products/206116',8,16,3800,4600,65,'AM4','AMD Zen 3','Radeon Vega 8','No posee',588,2307
61,'Intel Core i5-12600KF [CM8071504555228]','Intel','https://media.solotodo.com/media/products/2053061_picture_1743100215.webp',183.88,175704,'https://solotodo.com/products/270448',6,16,3700,4900,125,'LGA 1700','Intel Alder Lake','No posee','No posee',741,6702
62,'AMD Ryzen 5 7500F [100-000000597]','AMD','https://media.solotodo.com/media/products/1879063_picture_1707454378.webp',189.29,180872,'https://solotodo.com/products/233330',6,12,3700,5000,65,'AM5','AMD Zen 4','No posee','Wraith Stealth',708,5540
63,'AMD Ryzen 5 PRO 4650G [100-100000143MPK]','AMD','https://media.solotodo.com/media/products/1315462_picture_1611992206.jpg',192.93,184354,'https://solotodo.com/products/99117',6,12,3700,4200,65,'AM4','AMD Zen 2','Radeon Vega 7','No posee',490,3616
64,'AMD Ryzen 5 8500G [100-100000931BOX]','AMD','https://media.solotodo.com/media/products/1874814_picture_1706850158.jpg',194.31,185675,'https://solotodo.com/products/232385',6,12,3500,5000,65,'AM5','AMD Zen 4','Radeon 740M','Wraith Stealth',0,0
65,'AMD Ryzen 5 5600XT [100-000001585BOX]','AMD','https://media.solotodo.com/media/products/1997891_picture_1733202715.png',198.65,189819,'https://solotodo.com/products/261032',6,12,3800,4700,65,'AM4','AMD Zen 3','No posee','Wraith Stealth',0,0
66,'AMD Ryzen 7 5700X [100-100000926WOF]','AMD','https://media.solotodo.com/media/products/1569342_picture_1672268351.jpg',200.92000000000002,191990,'https://solotodo.com/products/135977',8,16,3400,4600,65,'AM4','AMD Zen 3','No posee','No posee',588,5330
67,'Intel Core i5-13400 [BX8071513400]','Intel','https://media.solotodo.com/media/products/1719352_picture_1675848872.jpg',207.67000000000002,198440,'https://solotodo.com/products/178563',6,16,2500,4600,65,'LGA 1700','Intel Raptor Lake','UHD 730','Cooler stock Intel',687,6055
68,'AMD Ryzen 5 3600 [100-100000031BOX]','AMD','https://media.solotodo.com/media/products/956184_picture_1562591788.jpg',210.66,201294,'https://solotodo.com/products/63490',6,12,3600,4200,65,'AM4','AMD Zen 2','No posee','Wraith Stealth',472,3689
69,'Intel Core i5-14400 [BX8071514400]','Intel','https://media.solotodo.com/media/products/1878994_picture_1707949232.jpg',209.16,199865,'https://solotodo.com/products/233325',6,16,2500,4700,65,'LGA 1700','Intel Raptor Lake','UHD 730','Cooler stock Intel',0,0
70,'Intel Core i5-12600KF [BX8071512600KF]','Intel','https://media.solotodo.com/media/products/1514007_picture_1640156514.jpg',209.16,199865,'https://solotodo.com/products/127941',6,16,3700,4900,125,'LGA 1700','Intel Alder Lake','No posee','No posee',741,6702
71,'AMD Ryzen 5 8600G [100-100001237BOX]','AMD','https://media.solotodo.com/media/products/1874814_picture_1706850158.jpg',210.82,201450,'https://solotodo.com/products/232386',6,12,4300,5000,65,'AM5','AMD Zen 4','Radeon 760M','Wraith Spire',697,5505
72,'AMD Ryzen 5 7600 [100-100001015MPK]','AMD','https://media.solotodo.com/media/products/1944179_picture_1723647673.webp',216.33,206712,'https://solotodo.com/products/252739',6,12,3800,5100,65,'AM5','AMD Zen 4','RDNA 2','No posee',722,5850
